,S1,S2,S3,S4,S5,S6
2021-11-01 00:00:00,2.100013,2.100013,21544.232000000004,15.201870000000042,278.53552,88.66288
2021-11-01 00:20:00,1.4945427,1.4945427,22789.7,16.10757000000001,278.40362999999996,85.74343
2021-11-01 00:40:00,1.2039236,1.2039236,26924.135,20.176230000000032,278.9093,66.80024
2021-11-01 01:00:00,0.787564,0.787564,28133.807,24.393700000000024,279.38147000000004,53.934402
2021-11-01 01:20:00,1.8404676,1.8404676,29133.484,27.305080000000032,278.6211,36.17342
2021-11-01 01:40:00,1.6762708,1.6762708,29520.55,28.671500000000037,277.10497999999995,26.558815000000003
2021-11-01 02:00:00,0.95037174,0.95037174,29653.229,29.384240000000034,274.8418,22.900663
2021-11-01 02:20:00,1.1154652,1.1154652,29716.352000000003,29.856300000000033,273.46008,20.953957
2021-11-01 02:40:00,1.4637246000000002,1.4637246000000002,29714.597999999998,29.88864000000001,272.06537000000003,21.123707
2021-11-01 03:00:00,2.096984,2.096984,29545.014,29.08850000000001,272.04562000000004,25.894405
2021-11-01 03:20:00,2.0237854,2.0237854,28513.445,27.15463,276.41402999999997,47.893784000000004
2021-11-01 03:40:00,2.0331678,2.0331678,25965.836,24.274320000000053,280.92852999999997,73.44421
2021-11-01 04:00:00,2.3853009999999997,2.3853009999999997,25030.61,22.324030000000054,280.59695,78.37189000000001
2021-11-01 04:20:00,2.8158317000000004,2.8158317000000004,25049.24,20.934780000000046,281.11877000000004,78.26666
2021-11-01 04:40:00,3.2612832000000003,3.2612832000000003,26076.963,20.20477,281.8543,72.94725
2021-11-01 05:00:00,3.3149529,3.3149529,26553.066000000003,19.528099999999995,281.49695,69.7275
2021-11-01 05:20:00,3.023686,3.023686,26292.91,18.523220000000038,281.02057,71.60377
2021-11-01 05:40:00,3.2837965,3.2837965,26550.1,17.986170000000016,280.43503,69.81782
2021-11-01 06:00:00,3.617921,3.617921,26775.504,17.687700000000007,279.65634,68.11105
2021-11-01 06:20:00,3.4494873999999998,3.4494873999999998,26135.674,17.077570000000037,279.06256,72.561516
2021-11-01 06:40:00,3.1445882000000003,3.1445882000000003,25512.285,16.486170000000016,279.03476,76.15876999999999
2021-11-01 07:00:00,3.385493,3.385493,25277.314,16.361050000000034,279.1064,77.25562
2021-11-01 07:20:00,3.251546,3.251546,24888.4,16.135340000000042,278.90268,79.04460999999999
2021-11-01 07:40:00,3.2136571,3.2136571,24373.746,15.810400000000017,278.52417,81.094765
2021-11-01 08:00:00,3.4921889999999998,3.4921889999999998,24231.862999999998,15.704460000000038,278.14346,81.55954
2021-11-01 08:20:00,3.1132562000000004,3.1132562000000004,24333.012000000002,16.382040000000018,277.99962999999997,81.20894
2021-11-01 08:40:00,2.361312,2.361312,26276.646,18.937520000000006,278.17596000000003,71.68629
2021-11-01 09:00:00,2.3097117000000003,2.3097117000000003,27819.062,22.09550000000001,278.19336,57.946518000000005
2021-11-01 09:20:00,2.9658945,2.9658945,28650.357000000004,24.916350000000023,277.29565,45.797077
2021-11-01 09:40:00,3.4134852999999996,3.4134852999999996,29115.389,27.03604000000001,276.01572000000004,36.58062
2021-11-01 10:00:00,2.639678,2.639678,29402.182,28.294270000000036,275.45325,29.71525
2021-11-01 10:20:00,1.8470802,1.8470802,29492.272999999997,29.036100000000033,275.50955,27.414747
2021-11-01 10:40:00,1.4794553999999998,1.4794553999999998,29512.5,29.2962,275.89172,26.724478
2021-11-01 11:00:00,1.2839301,1.2839301,29481.248,29.0521,276.25003,27.626675
2021-11-01 11:20:00,2.0834093,2.0834093,28650.021,27.320460000000026,278.76382,45.57188
2021-11-01 11:40:00,2.8437345,2.8437345,27442.217,23.97280000000001,282.20867999999996,61.90879
2021-11-01 12:00:00,3.1381580000000002,3.1381580000000002,27187.41,22.114340000000027,282.11432,64.54935
2021-11-01 12:20:00,3.3313599000000003,3.3313599000000003,26762.176,21.099450000000047,282.40628,68.17781
2021-11-01 12:40:00,3.2304117999999997,3.2304117999999997,26856.017999999996,20.198480000000018,283.3438,67.397675
2021-11-01 13:00:00,2.9896982000000003,2.9896982000000003,26742.16,19.26592000000005,282.61475,68.33055
2021-11-01 13:20:00,2.8878,2.8878,26382.533,18.42452000000003,281.96875,70.93719
2021-11-01 13:40:00,2.9690456000000003,2.9690456000000003,26354.635,17.893460000000005,281.24005,71.11805
2021-11-01 14:00:00,2.509707,2.509707,25554.11,17.20043000000004,280.58582,75.84245
2021-11-01 14:20:00,1.9253974999999999,1.9253974999999999,24576.542999999998,16.577840000000037,280.46542,80.34644
2021-11-01 14:40:00,1.5546758,1.5546758,21804.48,15.921960000000013,280.28424,88.154854
2021-11-01 15:00:00,2.3203783,2.3203783,23133.756,15.741720000000045,280.10278,84.98335
2021-11-01 15:20:00,2.5741272,2.5741272,24178.906000000003,15.549900000000036,280.0525,81.75118
2021-11-01 15:40:00,2.3916457,2.3916457,23921.838,15.156370000000038,279.93646,82.65935999999999
2021-11-01 16:00:00,1.847225,1.847225,23434.404,14.911580000000017,279.7077,84.07212
2021-11-01 16:20:00,1.835004,1.835004,24721.83,15.873860000000036,279.56372000000005,79.534164
2021-11-01 16:40:00,3.2326212000000005,3.2326212000000005,27149.855,18.98788000000002,280.07903999999996,64.77615
2021-11-01 17:00:00,1.7307216,1.7307216,27868.006,20.92288000000002,280.01575,57.44709
2021-11-01 17:20:00,1.2522893999999998,1.2522893999999998,28632.29,23.89150000000001,277.52002000000005,46.200245
2021-11-01 17:40:00,0.9063440999999999,0.9063440999999999,29011.287,26.25253000000004,276.68118,38.845566
