time,Wind_speed,Wind_dir,Visibility,Temperature,dewpoint,Humidity
2021-11-01 22:00,2.0743725,218.20935,16164.481,288.93738,281.29224,95.25211
2021-11-01 22:20,2.0861592,234.1112,15154.801,288.29477,280.3205,95.90312
2021-11-01 22:40,2.0596154,235.87656,15972.091,287.735,279.5796,95.3394
2021-11-01 23:00,2.2041583,224.30116,17250.992,287.20563,278.2903,94.32296
2021-11-01 23:20,2.137451,220.518,17770.332,286.67737,277.55695,93.714294
2021-11-01 23:40,2.2442467,221.82707,20187.867,286.1715,277.20395,90.714485
2021-11-02 00:00,3.2670035,127.475784,22863.268,289.90265,278.53552,85.77109
2021-11-02 00:20,2.9722397,131.59909,24270.588,290.64105,278.40363,81.37802
2021-11-02 00:40,3.3759863,130.98686,26594.586,293.23456,278.9093,69.47047
2021-11-02 01:00,4.2138124,135.90437,28015.879,296.38745,279.38147,55.45987
2021-11-02 01:20,5.0662947,144.76707,28661.227,298.77994,278.6211,45.55916
2021-11-02 01:40,4.9297366,151.14296,28981.064,300.38165,277.10498,39.375
2021-11-02 02:00,3.5959318,161.4279,29191.904,301.57333,274.8418,34.9375
2021-11-02 02:20,2.906439,169.79771,29300.293,302.318,273.46008,32.21875
2021-11-02 02:40,2.7668903,183.29855,29345.338,302.53302,272.06537,31.157856
2021-11-02 03:00,2.5534775,186.1309,29320.47,302.20612,272.04562,31.754196
2021-11-02 03:20,1.9950364,143.6432,28265.66,300.4301,276.41403,51.533047
2021-11-02 03:40,2.5488782,121.0518,26336.748,297.53424,280.92853,71.10823
2021-11-02 04:00,3.0808525,118.78213,26479.266,295.74268,280.59695,70.27106
2021-11-02 04:20,3.51661,117.51442,26634.492,295.04816,281.11877,69.2332
2021-11-02 04:40,3.6985722,115.78866,26467.314,294.49847,281.8543,70.3398
2021-11-02 05:00,3.4082465,115.52851,26266.254,293.67352,281.49695,71.70604
2021-11-02 05:20,3.237321,111.68302,25856.475,292.85583,281.02057,74.16652
2021-11-02 05:40,2.9914048,96.46569,24805.875,292.07068,280.43503,79.37949
2021-11-02 06:00,2.7537751,109.54704,23668,291.42438,279.65634,83.435165
2021-11-02 06:20,2.3432436,121.005035,22980.682,290.71088,279.06256,85.392845
2021-11-02 06:40,2.557991,140.38838,23689.25,290.23306,279.03476,83.38979
2021-11-02 07:00,2.052821,116.68866,23569.139,289.72748,279.1064,83.73228
2021-11-02 07:20,2.2989554,138.03444,24926.725,290.24103,278.90268,78.84477
2021-11-02 07:40,2.0962396,125.46025,24494.643,289.81332,278.52417,80.6188
2021-11-02 08:00,2.2659204,120.58509,22644.436,289.1269,278.14346,86.33093
2021-11-02 08:20,2.1141236,129.64537,24992.033,290.13483,277.99963,78.4821
2021-11-02 08:40,1.8050699,140.5015,27285.33,292.81342,278.17596,63.553745
2021-11-02 09:00,1.5864099,86.55019,28034.484,295.23682,278.19336,55.258987
2021-11-02 09:20,1.0312555,72.495674,28590.205,297.80807,277.29565,46.894535
2021-11-02 09:40,2.0415587,41.21608,28873.168,298.95532,276.01572,41.547607
2021-11-02 10:00,0.76254684,77.59009,29126.71,300.25293,275.45325,36.26658
2021-11-02 10:20,1.1789927,218.79683,29303.236,301.296,275.50955,32.233482
2021-11-02 10:40,1.7246243,244.07397,29371.389,301.57697,275.89172,30.46899
2021-11-02 11:00,1.2253788,263.12317,29326.719,301.38745,276.25003,31.59375
2021-11-02 11:20,1.8089262,268.5283,28558.707,300.02783,278.76382,47.09375
2021-11-02 11:40,2.1872418,260.6946,26485.818,296.9547,282.20868,70.0625
2021-11-02 12:00,2.5071797,328.77377,25831.47,295.2929,282.11432,74.34485
2021-11-02 12:20,2.280093,39.46115,25935.834,294.40564,282.40628,73.763
2021-11-02 12:40,1.9609827,349.51782,24806.115,293.4801,283.3438,79.28657
2021-11-02 13:00,1.6722984,62.57376,23021.85,292.63394,282.61475,85.29434
2021-11-02 13:20,1.448619,86.83488,21062.475,291.68213,281.96875,89.49792
2021-11-02 13:40,1.0391442,186.95663,18888.451,290.65237,281.24005,92.74255
2021-11-02 14:00,2.095441,222.95233,20978.617,290.5827,280.58582,89.67446
