time,time,Wind_speed,Wind_dir,Visibility,Temperature,dewpoint,Humidity
2021-11-01 14:40:00,2021-11-01 14:40:00,1.5546758,48.918297,21804.48,15.921960000000013,7.134240000000034,88.154854
2021-11-01 15:00:00,2021-11-01 15:00:00,2.3203783,129.21252,23133.756,15.741720000000043,6.952780000000018,84.98335
2021-11-01 15:20:00,2021-11-01 15:20:00,2.5741272,148.17752,24178.906,15.549900000000036,6.902500000000032,81.75118
2021-11-01 15:40:00,2021-11-01 15:40:00,2.3916457,147.16498,23921.838,15.156370000000038,6.786460000000034,82.65936
2021-11-01 16:00:00,2021-11-01 16:00:00,1.847225,169.41943,23434.404,14.911580000000015,6.557700000000011,84.07212
2021-11-01 16:20:00,2021-11-01 16:20:00,1.835004,111.20729,24721.83,15.873860000000036,6.413720000000012,79.534164
2021-11-01 16:40:00,2021-11-01 16:40:00,3.2326212,30.408037,27149.855,18.98788000000002,6.929040000000043,64.77615
2021-11-01 17:00:00,2021-11-01 17:00:00,1.7307216,83.073204,27868.006,20.92288000000002,6.865750000000048,57.44709
2021-11-01 17:20:00,2021-11-01 17:20:00,1.2522894,70.091576,28632.29,23.891500000000008,4.370020000000011,46.200245
2021-11-01 17:40:00,2021-11-01 17:40:00,0.9063441,155.71231,29011.287,26.252530000000036,3.531180000000006,38.845566
2021-11-01 18:00:00,2021-11-01 18:00:00,1.3929443,266.60788,29359.094,28.01460000000003,3.939360000000022,30.746933
2021-11-01 18:20:00,2021-11-01 18:20:00,2.0431004,282.0001,29428.715,28.77328,3.4690500000000384,28.96875
2021-11-01 18:40:00,2021-11-01 18:40:00,2.6251507,273.43976,29440.973,29.1918,3.269900000000007,28.792992
2021-11-01 19:00:00,2021-11-01 19:00:00,2.5233614,267.1484,29425.295,29.11895000000004,6.111260000000016,29.033674
2021-11-01 19:20:00,2021-11-01 19:20:00,1.3770581,206.38144,28358.156,27.75988000000001,12.930570000000046,50.040627
2021-11-01 19:40:00,2021-11-01 19:40:00,1.8885889,170.08444,26372.2,24.659080000000017,10.055630000000008,70.97346
2021-11-01 20:00:00,2021-11-01 20:00:00,0.7511468,227.56657,22886.682,22.509500000000003,9.459339999999997,85.500465
2021-11-01 20:20:00,2021-11-01 20:20:00,1.064138,283.17102,23798.361,21.217129999999997,9.328900000000033,83.037155
2021-11-01 20:40:00,2021-11-01 20:40:00,2.3450441,269.20612,24532.88,20.433130000000006,9.3519,80.31615
2021-11-01 21:00:00,2021-11-01 21:00:00,2.5200493,225.58752,22333.66,18.707820000000027,9.10775000000001,86.82706
2021-11-01 21:20:00,2021-11-01 21:20:00,2.2697725,219.55563,20764.63,17.52767,9.081100000000049,89.88082
2021-11-01 21:40:00,2021-11-01 21:40:00,2.1926193,221.43384,18134.3,16.508399999999995,8.978229999999996,93.51229
2021-11-01 22:00:00,2021-11-01 22:00:00,2.0743725,218.20935,16164.481,15.787380000000041,8.142240000000015,95.25211
2021-11-01 22:20:00,2021-11-01 22:20:00,2.0861592,234.1112,15154.801,15.144770000000051,7.170500000000004,95.90312
2021-11-01 22:40:00,2021-11-01 22:40:00,2.0596154,235.87656,15972.091,14.585000000000036,6.42960000000005,95.3394
2021-11-01 23:00:00,2021-11-01 23:00:00,2.2041583,224.30116,17250.992,14.055630000000008,5.140300000000025,94.32296
2021-11-01 23:20:00,2021-11-01 23:20:00,2.137451,220.518,17770.332,13.527370000000019,4.406949999999995,93.714294
2021-11-01 23:40:00,2021-11-01 23:40:00,2.2442467,221.82707,20187.867,13.021500000000003,4.053950000000043,90.714485
2021-11-02 00:00:00,2021-11-02 00:00:00,3.2670035,127.475784,22863.268,16.752650000000017,5.385520000000042,85.77109
2021-11-02 00:20:00,2021-11-02 00:20:00,2.9722397,131.59909,24270.588,17.49105000000003,5.253630000000044,81.37802
2021-11-02 00:40:00,2021-11-02 00:40:00,3.3759863,130.98686,26594.586,20.08456000000001,5.759299999999996,69.47047
2021-11-02 01:00:00,2021-11-02 01:00:00,4.2138124,135.90437,28015.879,23.237450000000024,6.231470000000002,55.45987
2021-11-02 01:20:00,2021-11-02 01:20:00,5.0662947,144.76707,28661.227,25.629940000000033,5.471100000000035,45.55916
2021-11-02 01:40:00,2021-11-02 01:40:00,4.9297366,151.14296,28981.064,27.231650000000002,3.9549800000000346,39.375
